URL,Zip code,City,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace area,Garden,Garden area,Surface of the land,Number of facades,Swimming pool,State of the building
https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbt64159,9300,Aalst,House,residence,495000,for sale,5,310,,0,0,1,25,1,114,,,,1
https://immovlan.be/en/detail/villa/for-sale/6840/grandvoir/vbd73035,6840,Grandvoir,House,villa,649000,for sale,4,188,,,,1,,1,,1479,,,
https://immovlan.be/en/detail/residence/for-sale/7850/enghien/vbd92707,7850,Enghien,House,residence,675000,for sale,6,416,3,0,1,1,100,1,100,665,3,0,1
https://immovlan.be/en/detail/villa/for-sale/5360/hamois/rwc41900,5360,Hamois,House,villa,349000,for sale,3,162,3,,0,1,,1,,,4,,2
https://immovlan.be/en/detail/villa/for-sale/1780/wemmel/rbv03443,1780,Wemmel,House,villa,1149000,for sale,5,396,2,0,,1,,1,,2647,4,1,2
https://immovlan.be/en/detail/studio/for-sale/1050/elsene/vbd81209,1050,Elsene,Apartment,studio,175000,for sale,0,32,1,,,0,,0,,,2,0,0
https://immovlan.be/en/detail/villa/for-sale/1320/beauvechain/vbd50586,1320,Beauvechain,House,villa,535000,for sale,4,198,1,0,,1,118,1,558,739,4,0,0
https://immovlan.be/en/detail/residence/for-sale/9190/kemzeke/rbv29610,9190,Kemzeke,House,residence,449000,for sale,4,,,0,,1,,1,,610,3,,
https://immovlan.be/en/detail/residence/for-sale/6141/forchies-la-marche/vbd57505,6141,Forchies-la-Marche,House,residence,,for sale,2,247,,,0,0,,1,,,,,
https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbd93876,7500,Tournai,Apartment,apartment,285000,for sale,2,105,,0,,1,10,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vaz65225,1000,Brussels,Apartment,apartment,377000,for sale,2,,,0,,1,,,,,3,,4
https://immovlan.be/en/detail/residence/for-sale/1140/evere/vbd07734,1140,Evere,House,residence,379000,for sale,4,180,,0,,1,,1,,320,,,
https://immovlan.be/en/detail/apartment/for-sale/2660/hoboken/rbv38679,2660,Hoboken,Apartment,apartment,256000,for sale,2,86,,0,,1,11,0,,,2,,1
https://immovlan.be/en/detail/apartment/for-sale/6700/arlon/vbd90098,6700,Arlon,Apartment,apartment,345000,for sale,2,85,,0,,0,,0,,,2,,
https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd30377,1300,Wavre,Apartment,apartment,245000,for sale,2,75,,0,,0,,0,,,,,
https://immovlan.be/en/detail/residence/for-sale/6800/libramont/vbd30144,6800,Libramont,House,residence,280000,for sale,3,508,,,,0,,0,,730,,,1
https://immovlan.be/en/detail/mixed-building/for-sale/7500/tournai/rbv30920,7500,Tournai,House,mixed-building,259500,for sale,,230,,,,0,,,,200,3,0,1
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbd81616,1120,Neder-Over-Heembeek,House,residence,369000,for sale,3,100,,0,,1,25,1,117,,2,,0
https://immovlan.be/en/detail/residence/for-sale/1440/braine-le-chateau/vbd53274,1440,Braine-le-Château,House,residence,899000,for sale,4,260,2,0,,1,,1,,1161,4,0,2
https://immovlan.be/en/detail/residence/for-sale/7812/ligne/vwd16696,7812,Ligne,House,residence,250000,for sale,3,120,,,0,1,20,1,,1600,4,1,0
https://immovlan.be/en/detail/residence/for-sale/1910/kampenhout/rbv27808,1910,Kampenhout,House,residence,598000,for sale,4,185,,,,1,,1,,577,3,0,1
https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd92418,1020,Laken,Apartment,apartment,199000,for sale,2,87,1,,,1,5,,,,2,,0
https://immovlan.be/en/detail/penthouse/for-sale/1150/sint-pieters-woluwe/vbd85405,1150,Sint-Pieters-Woluwe,Apartment,penthouse,2375000,for sale,3,278,,,0,1,98,0,,,3,,4
https://immovlan.be/en/detail/residence/for-sale/6900/marche-en-famenne/vbd58687,6900,Marche-en-Famenne,House,residence,250000,for sale,4,257,3,0,,1,20,1,1964,1964,4,0,0
https://immovlan.be/en/detail/residence/for-sale/8511/aalbeke/vbd92879,8511,Aalbeke,House,residence,559000,for sale,3,230,2,0,,1,,1,200,500,4,1,1
https://immovlan.be/en/detail/residence/for-sale/9630/sint-blasius-boekel/rbv28919,9630,Sint-Blasius-Boekel,House,residence,269000,for sale,5,528,,0,,1,,1,,1260,2,,0
https://immovlan.be/en/detail/apartment/for-sale/1090/jette/vbd85067,1090,Jette,Apartment,apartment,410000,for sale,4,197,,0,,1,,0,,,3,,0
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbd89363,1000,Brussels,House,residence,359000,for sale,6,200,,,,0,,1,35,,2,,
https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd60710,1030,Schaarbeek,Apartment,apartment,249000,for sale,2,92,,0,,1,3,0,,,2,,0
https://immovlan.be/en/detail/apartment/for-sale/6140/fontaine-l-eveque/vba57696,6140,Fontaine-l,Apartment,apartment,270000,for sale,4,156,,,,1,,,,,2,,1
https://immovlan.be/en/detail/residence/for-sale/6850/paliseul/vbd07753,6850,Paliseul,House,residence,490000,for sale,3,317,,0,,1,,1,,1740,4,,
https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbv27881,2170,Merksem,House,residence,280000,for sale,2,97,,0,,0,,1,33,109,2,,1
https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/rbv23834,1300,Wavre,Apartment,apartment,185000,for sale,1,76,,0,,1,4,0,,,2,,0
https://immovlan.be/en/detail/apartment/for-sale/1370/jodoigne/vbc99709,1370,Jodoigne,Apartment,apartment,149000,for sale,2,85,,0,,0,,0,,,2,,0
https://immovlan.be/en/detail/duplex/for-sale/5004/bouge/vbd93862,5004,Bouge,Apartment,duplex,325000,for sale,2,120,3,0,,1,20,,,,3,,2
https://immovlan.be/en/detail/ground-floor/for-sale/2430/laakdal/rbv35654,2430,Laakdal,Apartment,ground-floor,292000,for sale,3,109,,0,,1,24,1,,,4,,4
https://immovlan.be/en/detail/villa/for-sale/1150/sint-pieters-woluwe/vbd84755,1150,Sint-Pieters-Woluwe,House,villa,2900000,for sale,5,988,,,0,1,63,1,6135,6135,4,1,0
https://immovlan.be/en/detail/residence/for-sale/5620/florennes/vbd88577,5620,Florennes,House,residence,169000,for sale,2,148,,0,,1,,1,,310,3,,0
https://immovlan.be/en/detail/apartment/for-sale/2221/booischot/rbv25934,2221,Booischot,Apartment,apartment,295000,for sale,2,98,2,,,1,10,1,23,,2,,4
https://immovlan.be/en/detail/apartment/for-sale/8370/blankenberge/rbu48012,8370,Blankenberge,Apartment,apartment,499900,for sale,3,136,,,,1,,1,,,,,2
