URL,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace area,Garden,Garden area,Surface of the land,Number of facades,Swimming pool,State of the building,Zip code
https://immovlan.be/en/detail/residence/for-sale/5580/han-sur-lesse/vbd89621,5580 Han-sur-Lesse,Apartment,residence,259000,for sale,4.0,196.0,Fully equipped,0.0,,1.0,,1.0,,402.0,3.0,1.0,Normal,5580
https://immovlan.be/en/detail/residence/for-sale/5600/villers-le-gambon/vwd16699,5600 Villers-le-Gambon,Apartment,residence,220000,for sale,3.0,180.0,Fully equipped,,,1.0,,1.0,,629.0,3.0,1.0,Normal,5600
https://immovlan.be/en/detail/residence/for-sale/5300/andenne/vbd89429,5300 Andenne,Apartment,residence,159000,for sale,3.0,100.0,,0.0,,1.0,,1.0,27.0,113.0,3.0,,,5300
https://immovlan.be/en/detail/residence/for-sale/5002/saint-servais/vbd89282,5002 Saint-Servais,Apartment,residence,189000,for sale,2.0,70.0,Partially equipped,0.0,,0.0,,1.0,,68.0,2.0,0.0,To renovate,5002
https://immovlan.be/en/detail/residence/for-sale/5002/saint-servais/vbd89281,5002 Saint-Servais,Apartment,residence,219000,for sale,3.0,136.0,Partially equipped,0.0,,1.0,,1.0,,335.0,2.0,0.0,To be renovated,5002
https://immovlan.be/en/detail/apartment/for-sale/5300/andenne/vbd89278,5300 Andenne,Apartment,apartment,185000,for sale,2.0,94.0,,0.0,,1.0,,0.0,,,,,Normal,5300
https://immovlan.be/en/detail/residence/for-sale/5150/floriffoux/vbd88704,5150 Floriffoux,Apartment,residence,349000,for sale,6.0,253.0,Partially equipped,,,1.0,,1.0,,3314.0,4.0,0.0,,5150
https://immovlan.be/en/detail/residence/for-sale/5620/florennes/vbd88577,5620 Florennes,Apartment,residence,169000,for sale,2.0,148.0,,0.0,,1.0,,1.0,,310.0,3.0,,To be renovated,5620
https://immovlan.be/en/detail/apartment/for-sale/5101/erpent/vbd88210,5101 Erpent,Apartment,apartment,260000,for sale,3.0,90.0,Fully equipped,0.0,,0.0,,0.0,,,2.0,0.0,Normal,5101
https://immovlan.be/en/detail/apartment/for-sale/5004/bouge/vbd88055,5004 Bouge,Apartment,apartment,369000,for sale,2.0,90.0,Fully equipped,0.0,,1.0,,1.0,,,3.0,0.0,Excellent,5004
https://immovlan.be/en/detail/residence/for-sale/5660/boussu-en-fagne/vbd87898,5660 Boussu-en-Fagne,Apartment,residence,300000,for sale,5.0,200.0,,0.0,,0.0,,0.0,,1407.0,,,,5660
https://immovlan.be/en/detail/apartment/for-sale/5004/bouge/vbd87782,5004 Bouge,Apartment,apartment,199000,for sale,2.0,75.0,Partially equipped,0.0,,1.0,,1.0,,,2.0,0.0,To renovate,5004
https://immovlan.be/en/detail/residence/for-sale/5530/yvoir/vbd87703,5530 Yvoir,Apartment,residence,850000,for sale,5.0,198.0,Super equipped,,,1.0,,1.0,38887.0,4097.0,4.0,1.0,Excellent,5530
https://immovlan.be/en/detail/residence/for-sale/5640/saint-gerard/vbd86853,5640 Saint-Gérard,Apartment,residence,89000,for sale,1.0,45.0,,0.0,,0.0,,1.0,,219.0,4.0,,Normal,5640
https://immovlan.be/en/detail/apartment/for-sale/5300/andenne/vbd86746,5300 Andenne,Apartment,apartment,179000,for sale,2.0,90.0,,0.0,,1.0,,0.0,,,,,Normal,5300
