,URL,Zip code,City,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Garden area,Surface of the land,Number of facades,Swimming pool,State of the building
1,https://immovlan.be/en/detail/residence/for-sale/2200/herentals/rbv30900,2200,Herentals,House,residence,369000,for sale,3.0,378,2.0,0,0,1,1,255.0,300.0,2.0,0,0.0
2,https://immovlan.be/en/detail/apartment/for-sale/1190/vorst/vbd89298,1190,Vorst,Apartment,apartment,385000,for sale,2.0,100,2.0,0,0,1,0,0.0,649.0,3.0,0,2.0
3,https://immovlan.be/en/detail/residence/for-sale/7100/la-louviere/vwd16672,7100,La Louvière,House,residence,135000,for sale,3.0,125,1.0,0,0,0,1,255.0,649.0,2.0,0,2.0
5,https://immovlan.be/en/detail/residence/for-sale/2160/wommelgem/rbv28995,2160,Wommelgem,House,residence,284000,for sale,3.0,180,2.0,0,0,0,1,240.0,295.0,2.0,0,0.0
6,https://immovlan.be/en/detail/residence/for-sale/6660/houffalize/vbc87496,6660,Houffalize,House,residence,299000,for sale,4.0,124,3.0,0,0,1,1,255.0,441.0,3.0,0,4.0
7,https://immovlan.be/en/detail/apartment/for-sale/1700/dilbeek/rbv08525,1700,Dilbeek,Apartment,apartment,394000,for sale,3.0,120,2.0,0,0,1,0,0.0,649.0,3.0,0,1.0
8,https://immovlan.be/en/detail/apartment/for-sale/6600/bastogne/vbd57472,6600,Bastogne,Apartment,apartment,250000,for sale,3.0,141,2.0,0,0,0,0,0.0,649.0,3.0,0,1.0
9,https://immovlan.be/en/detail/residence/for-sale/1400/nivelles/vbb94470,1400,Nivelles,House,residence,425000,for sale,1.0,165,3.0,0,0,0,1,255.0,362.0,3.0,0,0.0
10,https://immovlan.be/en/detail/apartment/for-sale/7170/manage/vbd88980,7170,Manage,Apartment,apartment,115000,for sale,2.0,90,2.0,0,0,1,0,0.0,649.0,3.0,0,2.0
12,https://immovlan.be/en/detail/studio/for-sale/1000/brussels/vbb28763,1000,Brussels,Apartment,studio,200000,for sale,0.0,32,3.0,0,0,1,0,0.0,649.0,2.0,0,1.0
13,https://immovlan.be/en/detail/residence/for-sale/5540/hastiere/vbd53683,5540,Hastière,House,residence,39000,for sale,2.0,34,2.0,0,0,1,1,733.0,649.0,3.0,0,0.0
14,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd84241,1030,Schaarbeek,Apartment,apartment,315000,for sale,2.0,98,2.0,0,0,1,0,0.0,649.0,3.0,0,1.0
15,https://immovlan.be/en/detail/chalet/for-sale/6940/durbuy/vbd69488,6940,Durbuy,Apartment,chalet,195000,for sale,3.0,100,1.0,0,0,1,1,255.0,2036.0,4.0,0,1.0
16,https://immovlan.be/en/detail/apartment/for-sale/4020/liege/vbd88863,4020,Liege,Apartment,apartment,130000,for sale,2.0,66,2.0,0,0,0,0,0.0,649.0,2.0,0,2.0
18,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbd58263,1050,Elsene,Apartment,apartment,575000,for sale,2.0,128,2.0,0,0,1,0,0.0,649.0,2.0,1,2.0
19,https://immovlan.be/en/detail/residence/for-sale/6531/biesme-sous-thuin/vbd65890,6531,Biesme-sous-Thuin,House,residence,119000,for sale,2.0,83,2.0,0,0,1,1,255.0,120.0,2.0,0,0.0
20,https://immovlan.be/en/detail/residence/for-sale/3530/houthalen-helchteren/rbv25770,3530,Houthalen-Helchteren,House,residence,285000,for sale,5.0,193,2.0,0,0,1,1,255.0,110.0,3.0,0,1.0
21,https://immovlan.be/en/detail/studio/for-sale/1180/ukkel/vbd55410,1180,Ukkel,Apartment,studio,239000,for sale,0.0,45,2.0,0,0,1,0,0.0,649.0,2.0,0,0.0
22,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd75238,1030,Schaarbeek,Apartment,apartment,179000,for sale,1.0,62,2.0,0,0,1,1,255.0,649.0,2.0,0,0.0
23,https://immovlan.be/en/detail/residence/for-sale/4400/mons-lez-liege/vbd80848,4400,Mons-Lez-Liège,House,residence,110000,for sale,2.0,96,2.0,0,0,0,1,255.0,471.0,4.0,0,2.0
24,https://immovlan.be/en/detail/apartment/for-sale/1190/vorst/vbd87982,1190,Vorst,Apartment,apartment,339500,for sale,2.0,94,2.0,0,0,1,0,0.0,649.0,2.0,0,4.0
25,https://immovlan.be/en/detail/mixed-building/for-sale/1742/sint-katherina-lombeek/rbv35168,1742,Sint-Katherina-Lombeek,House,mixed-building,395000,for sale,5.0,400,3.0,0,0,1,1,700.0,895.0,3.0,0,0.0
26,https://immovlan.be/en/detail/residence/for-sale/1357/neerheylissem/vbd65002,1357,Neerheylissem,House,residence,245000,for sale,2.0,140,2.0,0,0,1,1,255.0,314.0,3.0,0,2.0
27,https://immovlan.be/en/detail/chalet/for-sale/6997/amonines/vbd61850,6997,Amonines,Apartment,chalet,175000,for sale,2.0,102,2.0,0,0,0,1,560.0,560.0,3.0,0,1.0
28,https://immovlan.be/en/detail/apartment/for-sale/2620/hemiksem/rbv31459,2620,Hemiksem,Apartment,apartment,379000,for sale,2.0,83,2.0,0,0,1,0,0.0,649.0,2.0,0,2.0
29,https://immovlan.be/en/detail/villa/for-sale/3080/tervuren/rbv11370,3080,Tervuren,House,villa,595000,for sale,4.0,232,2.0,0,0,1,1,255.0,673.0,4.0,0,2.0
30,https://immovlan.be/en/detail/residence/for-sale/1440/braine-le-chateau/vbd15527,1440,Braine-le-Château,House,residence,249000,for sale,3.0,120,2.0,0,0,1,1,450.0,740.0,3.0,0,0.0
31,https://immovlan.be/en/detail/villa/for-sale/4053/embourg/vbd86681,4053,Embourg,House,villa,679000,for sale,4.0,265,2.0,0,1,1,1,255.0,1055.0,4.0,0,1.0
32,https://immovlan.be/en/detail/residence/for-sale/5000/beez/vbd51743,5000,Beez,House,residence,527700,for sale,3.0,190,2.0,0,0,0,1,255.0,1778.0,4.0,0,4.0
33,https://immovlan.be/en/detail/residence/for-sale/2230/herselt/rbv33731,2230,Herselt,House,residence,360000,for sale,3.0,165,2.0,0,0,1,1,255.0,2643.0,4.0,0,0.0
35,https://immovlan.be/en/detail/residence/for-sale/1350/orp-jauche/vbd34281,1350,Orp-Jauche,House,residence,275000,for sale,4.0,220,3.0,0,0,1,1,255.0,345.0,2.0,0,0.0
36,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbd80081,1040,Etterbeek,Apartment,apartment,255000,for sale,1.0,90,2.0,0,0,0,0,0.0,649.0,3.0,0,2.0
37,https://immovlan.be/en/detail/residence/for-sale/1050/elsene/vbd85045,1050,Elsene,House,residence,2650000,for sale,4.0,467,2.0,0,0,1,1,45.0,150.0,3.0,0,4.0
38,https://immovlan.be/en/detail/apartment/for-sale/4802/heusy/vbd80578,4802,Heusy,Apartment,apartment,441535,for sale,2.0,122,2.0,0,0,1,0,0.0,649.0,3.0,0,4.0
39,https://immovlan.be/en/detail/apartment/for-sale/1390/grez-doiceau/vbd82755,1390,Grez-Doiceau,Apartment,apartment,345000,for sale,2.0,120,2.0,0,0,0,1,133.0,649.0,3.0,0,1.0
41,https://immovlan.be/en/detail/residence/for-sale/3620/lanaken/rbv28911,3620,Lanaken,House,residence,389000,for sale,5.0,161,2.0,0,0,1,1,255.0,417.0,2.0,0,1.0
42,https://immovlan.be/en/detail/studio/for-sale/9000/gent/rbv14907,9000,Gent,Apartment,studio,230000,for sale,3.0,32,3.0,0,0,0,1,255.0,649.0,2.0,0,2.0
