URL,Locality,Zip code,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace area,Garden,Garden area,Surface of the land,Number of facades,Swimming pool,State of the building
https://immovlan.be/en/detail/apartment/for-sale/1853/strombeek-bever/vbd90241,1853 Strombeek-Bever,1853,Apartment,apartment,235000.0,for sale,2.0,,,,0.0,,,,,,,,To be renovated
https://immovlan.be/en/detail/residence/for-sale/2200/herentals/rbv30900,2200 Herentals,2200,House,residence,369000.0,for sale,3.0,378.0,,0.0,,1.0,,1.0,,300.0,2.0,,To be renovated
https://immovlan.be/en/detail/apartment/for-sale/1190/vorst/vbd89298,1190 Vorst,1190,Apartment,apartment,385000.0,for sale,2.0,100.0,,0.0,,1.0,,0.0,,,,,
https://immovlan.be/en/detail/residence/for-sale/7100/la-louviere/vwd16672,7100 La Louvière,7100,House,residence,135000.0,for sale,3.0,125.0,Partially equipped,,,,,1.0,,,2.0,,
https://immovlan.be/en/detail/apartment/for-sale/8301/duinbergen/rbu76776,8301 Duinbergen,8301,Apartment,apartment,595000.0,for sale,3.0,,,,,1.0,,0.0,,,,,
https://immovlan.be/en/detail/residence/for-sale/2160/wommelgem/rbv28995,2160 Wommelgem,2160,House,residence,284000.0,for sale,3.0,180.0,,,,,,1.0,240.0,295.0,2.0,0.0,To be renovated
https://immovlan.be/en/detail/residence/for-sale/6660/houffalize/vbc87496,6660 Houffalize,6660,House,residence,299000.0,for sale,4.0,124.0,Fully equipped,0.0,,1.0,,1.0,,441.0,3.0,,New
https://immovlan.be/en/detail/apartment/for-sale/1700/dilbeek/rbv08525,1700 Dilbeek,1700,Apartment,apartment,394000.0,for sale,3.0,120.0,,0.0,,1.0,,0.0,,,,,Normal
https://immovlan.be/en/detail/apartment/for-sale/6600/bastogne/vbd57472,6600 Bastogne,6600,Apartment,apartment,250000.0,for sale,3.0,141.0,,0.0,,0.0,,0.0,,,,,Normal
https://immovlan.be/en/detail/residence/for-sale/1400/nivelles/vbb94470,1400 Nivelles,1400,House,residence,425000.0,for sale,1.0,165.0,Fully equipped,,0.0,0.0,,1.0,,362.0,,,To be renovated
https://immovlan.be/en/detail/apartment/for-sale/7170/manage/vbd88980,7170 Manage,7170,Apartment,apartment,115000.0,for sale,2.0,90.0,,0.0,,1.0,,0.0,,,3.0,0.0,Excellent
https://immovlan.be/en/detail/villa/for-sale/1330/rixensart/vbd90891,1330 Rixensart,1330,House,villa,1100000.0,for sale,3.0,350.0,,0.0,,1.0,,1.0,4000.0,4763.0,4.0,1.0,
https://immovlan.be/en/detail/studio/for-sale/1000/brussels/vbb28763,1000 Brussels,1000,Apartment,studio,200000.0,for sale,0.0,32.0,Fully equipped,0.0,,1.0,,,,,2.0,0.0,Normal
https://immovlan.be/en/detail/residence/for-sale/5540/hastiere/vbd53683,5540 Hastière,5540,House,residence,39000.0,for sale,2.0,34.0,,0.0,0.0,1.0,,1.0,733.0,,,,To be renovated
https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd84241,1030 Schaarbeek,1030,Apartment,apartment,315000.0,for sale,2.0,98.0,,0.0,0.0,1.0,,0.0,,,,,Normal
https://immovlan.be/en/detail/chalet/for-sale/6940/durbuy/vbd69488,6940 Durbuy,6940,Apartment,chalet,195000.0,for sale,3.0,100.0,Partially equipped,,,1.0,,1.0,,2036.0,4.0,0.0,Normal
https://immovlan.be/en/detail/apartment/for-sale/4020/liege/vbd88863,4020 Liege,4020,Apartment,apartment,130000.0,for sale,2.0,66.0,,0.0,,0.0,,0.0,,,2.0,,
https://immovlan.be/en/detail/apartment/for-sale/8670/koksijde/rbv25336,8670 Koksijde,8670,Apartment,apartment,,for sale,2.0,105.0,,0.0,,1.0,,0.0,,,,,Fully renovated
https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbd58263,1050 Elsene,1050,Apartment,apartment,575000.0,for sale,2.0,128.0,Super equipped,0.0,,1.0,,0.0,,,2.0,1.0,Excellent
https://immovlan.be/en/detail/residence/for-sale/6531/biesme-sous-thuin/vbd65890,6531 Biesme-sous-Thuin,6531,House,residence,119000.0,for sale,2.0,83.0,,0.0,,1.0,,1.0,,120.0,2.0,,To be renovated
https://immovlan.be/en/detail/residence/for-sale/3530/houthalen-helchteren/rbv25770,3530 Houthalen-Helchteren,3530,House,residence,285000.0,for sale,5.0,193.0,,0.0,,1.0,,1.0,,110.0,3.0,,Normal
https://immovlan.be/en/detail/studio/for-sale/1180/ukkel/vbd55410,1180 Ukkel,1180,Apartment,studio,239000.0,for sale,0.0,45.0,,0.0,,1.0,,,,,2.0,0.0,To renovate
https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd75238,1030 Schaarbeek,1030,Apartment,apartment,179000.0,for sale,1.0,62.0,,0.0,,1.0,,1.0,,,2.0,0.0,To renovate
https://immovlan.be/en/detail/residence/for-sale/4400/mons-lez-liege/vbd80848,4400 Mons-Lez-Liège,4400,House,residence,110000.0,for sale,2.0,96.0,,,,0.0,,1.0,,471.0,4.0,,
https://immovlan.be/en/detail/apartment/for-sale/1190/vorst/vbd87982,1190 Vorst,1190,Apartment,apartment,339500.0,for sale,2.0,94.0,Super equipped,,,1.0,,0.0,,,2.0,0.0,New
https://immovlan.be/en/detail/mixed-building/for-sale/1742/sint-katherina-lombeek/rbv35168,1742 Sint-Katherina-Lombeek,1742,House,mixed-building,395000.0,for sale,5.0,400.0,Fully equipped,0.0,,1.0,,1.0,700.0,895.0,3.0,,To be renovated
https://immovlan.be/en/detail/residence/for-sale/1357/neerheylissem/vbd65002,1357 Neerheylissem,1357,House,residence,245000.0,for sale,2.0,140.0,,0.0,,1.0,,1.0,,314.0,3.0,,
https://immovlan.be/en/detail/chalet/for-sale/6997/amonines/vbd61850,6997 Amonines,6997,Apartment,chalet,175000.0,for sale,2.0,102.0,,,,0.0,,1.0,560.0,560.0,,,Normal
https://immovlan.be/en/detail/apartment/for-sale/2620/hemiksem/rbv31459,2620 Hemiksem,2620,Apartment,apartment,379000.0,for sale,2.0,83.0,,0.0,,1.0,,0.0,,,2.0,,Excellent
https://immovlan.be/en/detail/villa/for-sale/3080/tervuren/rbv11370,3080 Tervuren,3080,House,villa,595000.0,for sale,4.0,232.0,,,,1.0,,1.0,,673.0,4.0,,
https://immovlan.be/en/detail/residence/for-sale/1440/braine-le-chateau/vbd15527,1440 Braine-le-Château,1440,House,residence,249000.0,for sale,3.0,120.0,,0.0,,1.0,,1.0,450.0,740.0,3.0,0.0,To be renovated
https://immovlan.be/en/detail/villa/for-sale/4053/embourg/vbd86681,4053 Embourg,4053,House,villa,679000.0,for sale,4.0,265.0,,0.0,1.0,1.0,,1.0,,1055.0,4.0,0.0,Normal
https://immovlan.be/en/detail/residence/for-sale/5000/beez/vbd51743,5000 Beez,5000,House,residence,527700.0,for sale,3.0,190.0,,,,,,1.0,,1778.0,4.0,,New
https://immovlan.be/en/detail/residence/for-sale/2230/herselt/rbv33731,2230 Herselt,2230,House,residence,360000.0,for sale,3.0,165.0,,0.0,,1.0,,1.0,,2643.0,4.0,,To be renovated
https://immovlan.be/en/detail/mixed-building/for-sale/5500/dinant/vbd70034,5500 Dinant,5500,House,mixed-building,26000000.0,for sale,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/1350/orp-jauche/vbd34281,1350 Orp-Jauche,1350,House,residence,275000.0,for sale,4.0,220.0,Fully equipped,,,1.0,,1.0,,345.0,2.0,0.0,To renovate
https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbd80081,1040 Etterbeek,1040,Apartment,apartment,255000.0,for sale,1.0,90.0,,0.0,,0.0,,0.0,,,,,
https://immovlan.be/en/detail/residence/for-sale/1050/elsene/vbd85045,1050 Elsene,1050,House,residence,2650000.0,for sale,4.0,467.0,Super equipped,0.0,,1.0,,1.0,45.0,150.0,3.0,0.0,New
https://immovlan.be/en/detail/apartment/for-sale/4802/heusy/vbd80578,4802 Heusy,4802,Apartment,apartment,441535.0,for sale,2.0,122.0,,,,1.0,,,,,,,New
https://immovlan.be/en/detail/apartment/for-sale/1390/grez-doiceau/vbd82755,1390 Grez-Doiceau,1390,Apartment,apartment,345000.0,for sale,2.0,120.0,,0.0,,0.0,,1.0,133.0,,3.0,,Normal
https://immovlan.be/en/detail/residence/in-public-sale/5580/rochefort/vbd81482,5580 Rochefort,5580,House,residence,160000.0,in public sale,3.0,,,,,0.0,,1.0,,,4.0,,
https://immovlan.be/en/detail/residence/for-sale/3620/lanaken/rbv28911,3620 Lanaken,3620,House,residence,389000.0,for sale,5.0,161.0,,0.0,,1.0,,1.0,,417.0,2.0,,Normal
https://immovlan.be/en/detail/studio/for-sale/9000/gent/rbv14907,9000 Gent,9000,Apartment,studio,230000.0,for sale,,32.0,Fully equipped,,,,,1.0,,,2.0,,Excellent
https://immovlan.be/en/detail/apartment/for-sale/4630/soumagne/vbd85208,4630 Soumagne,4630,Apartment,apartment,150000.0,for sale,1.0,55.0,Partially equipped,0.0,,0.0,,0.0,,,,0.0,Normal
https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbd57048,1050 Elsene,1050,Apartment,apartment,825000.0,for sale,3.0,231.0,Super equipped,0.0,,1.0,,0.0,,,2.0,0.0,Normal
https://immovlan.be/en/detail/mixed-building/for-sale/1000/brussels/vbd83857,1000 Brussels,1000,House,mixed-building,849000.0,for sale,8.0,340.0,Partially equipped,0.0,,1.0,,0.0,,207.0,2.0,0.0,Normal
https://immovlan.be/en/detail/penthouse/for-sale/1030/schaarbeek/vbd87971,1030 Schaarbeek,1030,Apartment,penthouse,399000.0,for sale,5.0,165.0,Super equipped,0.0,,1.0,,0.0,,,4.0,0.0,Normal
https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbd48023,1200 Sint-Lambrechts-Woluwe,1200,Apartment,apartment,235000.0,for sale,1.0,75.0,Super equipped,0.0,,1.0,,0.0,,,2.0,0.0,To renovate
https://immovlan.be/en/detail/residence/for-sale/5651/somzee/vbd68363,5651 Somzée,5651,House,residence,349000.0,for sale,2.0,231.0,,0.0,,1.0,,1.0,,199.0,3.0,,Normal
https://immovlan.be/en/detail/apartment/for-sale/6890/libin/vbd61066,6890 Libin,6890,Apartment,apartment,295000.0,for sale,3.0,159.0,Fully equipped,0.0,,1.0,,1.0,512.0,,3.0,0.0,Excellent
https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbd78204,1180 Ukkel,1180,Apartment,apartment,240000.0,for sale,2.0,67.0,Fully equipped,,,1.0,,0.0,,,4.0,,Normal
https://immovlan.be/en/detail/apartment/for-sale/9400/ninove/rbv35809,9400 Ninove,9400,Apartment,apartment,285000.0,for sale,2.0,112.0,,0.0,,1.0,,0.0,,,2.0,,To be renovated
https://immovlan.be/en/detail/residence/for-sale/8680/koekelare/rbu88147,8680 Koekelare,8680,House,residence,149000.0,for sale,4.0,,,,,1.0,,0.0,,91.0,2.0,,
https://immovlan.be/en/detail/residence/for-sale/5190/spy/vbd90083,5190 Spy,5190,House,residence,665000.0,for sale,6.0,483.0,,0.0,,1.0,,1.0,,497.0,4.0,1.0,
https://immovlan.be/en/detail/residence/for-sale/6927/bure/vbd56081,6927 Bure,6927,House,residence,269000.0,for sale,2.0,120.0,,0.0,,1.0,,1.0,2617.0,2617.0,4.0,,To be renovated
https://immovlan.be/en/detail/residence/for-sale/9280/lebbeke/rbv33864,9280 Lebbeke,9280,House,residence,185000.0,for sale,5.0,279.0,,,,0.0,,0.0,,262.0,4.0,,To be renovated
https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbd84936,1050 Elsene,1050,Apartment,apartment,375000.0,for sale,1.0,75.0,,0.0,,1.0,,0.0,,,2.0,,Normal
https://immovlan.be/en/detail/residence/for-sale/3700/berg/rbu75253,3700 Berg,3700,House,residence,186000.0,for sale,2.0,99.0,,,,1.0,,1.0,,90.0,2.0,,
https://immovlan.be/en/detail/duplex/for-sale/5000/namur/vbd84195,5000 Namur,5000,Apartment,duplex,235000.0,for sale,4.0,190.0,Partially equipped,,,1.0,,0.0,,,2.0,0.0,To renovate
